School,W-L%,SRS,SOS,Conf W-L%,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Seed,Sort,Composite
Duke ,0.897,24.97,9.87,0.833333333,65.9,119.4,0.398,0.334,0.593,53.9,53.5,10.7,9,0.566,13.9,35.8,0.278,1,64,33.5
Wisconsin ,0.9,24.61,10.29,0.888888889,59.5,121.1,0.362,0.374,0.585,54.7,49.7,7.3,8.2,0.548,10.7,32.1,0.276,1,63,21.2
Kentucky ,0.974,28.72,8.67,1,63.8,115.5,0.439,0.271,0.558,54.9,55,10.1,18.2,0.515,13.6,39.5,0.319,1,62,24
Michigan State ,0.692,17.46,10,0.666666667,63,109.7,0.327,0.35,0.55,53.9,63.7,8,12.6,0.532,14.9,33.4,0.207,7,61,12.6
Arizona ,0.895,24.33,7.41,0.888888889,66.5,114.7,0.471,0.259,0.575,56.8,52.3,10.8,9.8,0.535,14.2,34.5,0.338,2,60,18.3
Gonzaga ,0.921,21.12,5.12,0.944444444,65.2,120.3,0.387,0.317,0.606,55.5,57.2,9.1,8.4,0.584,13.9,34.1,0.267,2,59,15.8
Louisville ,0.75,18.12,8.98,0.666666667,65.6,104.5,0.387,0.314,0.512,51.8,47.7,11.9,14.4,0.477,14.4,34.7,0.258,4,58,13.8
Notre Dame ,0.842,19.23,7.02,0.777777778,63.7,120.4,0.367,0.376,0.612,49.8,54.9,10.4,9.1,0.583,12.9,27.9,0.272,3,57,13
Xavier ,0.622,15.42,9.48,0.5,65.6,109.8,0.385,0.331,0.57,52.8,62.3,9,8.3,0.534,15.8,31.3,0.281,6,56,12.3
Utah ,0.743,20.98,7.42,0.722222222,62.6,113.5,0.432,0.372,0.588,53.7,57.6,9.5,13.5,0.557,16.1,31.6,0.303,5,55,10
Oklahoma ,0.686,18.65,9.94,0.666666667,67.4,105.2,0.328,0.338,0.532,51.1,48.6,10,12.9,0.493,15.1,31.5,0.243,3,54,9.7
Wichita State ,0.857,15.56,3.68,0.944444444,61.9,112.7,0.37,0.347,0.541,53.6,55.3,11.5,11.3,0.507,12.6,34.9,0.259,7,53,8.3
UCLA ,0.611,12.07,8.27,0.611111111,67.3,106.1,0.357,0.289,0.527,52.6,53.5,9.8,11,0.496,14.9,33.8,0.242,11,52,8
North Carolina ,0.684,20.63,11.76,0.611111111,69.2,111.6,0.353,0.223,0.548,55.2,60.1,9.5,11.3,0.516,15.1,40,0.247,4,51,7.3
North Carolina State ,0.611,14.11,9.72,0.555555556,64.5,108,0.354,0.322,0.526,52.3,46.4,5.9,13.1,0.493,13.5,34,0.243,8,50,4
West Virginia ,0.714,15.12,9.29,0.611111111,68.7,104.9,0.404,0.336,0.499,52.1,56.7,15.5,8.7,0.461,15.1,40.2,0.267,5,49,-1.7
Villanova ,0.917,23.13,7.55,0.888888889,65,116.9,0.418,0.429,0.589,51.5,62.2,11.8,11,0.553,14,32.5,0.305,1,48,22
Iowa ,0.647,15.83,8.39,0.666666667,64.5,107.4,0.38,0.302,0.527,52.9,58.7,9.9,13.1,0.481,14.4,35.6,0.282,7,47,9
Dayton ,0.75,10.98,4.06,0.722222222,64.2,105.1,0.482,0.382,0.565,48.6,60.5,10.8,7.2,0.53,16.1,23.3,0.33,11,46,6.5
Kansas ,0.75,18.47,12.13,0.722222222,66.7,106.3,0.426,0.284,0.539,52.6,54.7,9.8,12.3,0.494,16.3,34.9,0.309,2,45,6
Virginia ,0.882,21.73,7.81,0.888888889,58.6,110.8,0.349,0.275,0.543,56,53.5,9.3,13.3,0.506,13.4,34.2,0.254,2,44,6
Butler ,0.676,16.64,8.62,0.666666667,64.2,105.9,0.408,0.287,0.522,54.2,47.5,9.8,8.8,0.484,14.3,34.7,0.279,6,43,5.5
Northern Iowa ,0.886,12.54,2,0.888888889,57.4,111.9,0.398,0.399,0.593,51.9,53.2,10.2,7.8,0.559,15.9,27,0.292,5,42,5
Georgetown ,0.667,15.48,9.81,0.666666667,64.6,108.1,0.439,0.325,0.552,52.2,53.4,11.6,14.1,0.513,16.4,34.3,0.309,4,41,2.5
Oregon ,0.722,11.43,7.65,0.722222222,68,109.3,0.286,0.339,0.557,50.9,51.2,8.3,11,0.524,14.7,30.8,0.217,8,40,2.5
Arkansas ,0.75,14.07,6.79,0.722222222,70.1,109.6,0.373,0.31,0.539,50.2,59.2,10.9,12,0.5,14.3,35.7,0.27,5,39,0
Georgia State ,0.714,5.47,-2.03,0.75,64.3,109.8,0.383,0.278,0.563,48.9,53.1,14.1,13.5,0.527,14.2,30,0.277,14,38,-0.5
Maryland ,0.8,13.32,7.63,0.777777778,64.7,106.1,0.445,0.387,0.562,51.1,48.1,7.4,11.9,0.512,16.7,28.9,0.336,4,37,-0.5
San Diego State ,0.75,11.81,4.24,0.777777778,60.8,100.7,0.362,0.308,0.496,52.4,47.1,11.2,14.1,0.467,15.4,35.4,0.228,8,36,-0.5
Cincinnati ,0.676,10.72,4.4,0.722222222,59.6,102.8,0.371,0.297,0.527,53.5,51.8,10.8,15.4,0.495,17.7,37.3,0.249,8,35,-3
Ohio State ,0.686,19.68,7.37,0.611111111,66,113.2,0.347,0.319,0.567,51.5,55.4,11.4,14.6,0.542,14.6,33.5,0.236,10,34,-3
Alabama-Birmingham ,0.556,1.94,1.62,0.666666667,65.9,101.5,0.35,0.297,0.52,51,59.1,9.7,13,0.477,16.8,34.2,0.259,14,33,-5
Baylor ,0.706,17.85,9.33,0.611111111,62.8,109.2,0.386,0.334,0.53,55.9,61.1,12.2,11.2,0.497,16.4,42.4,0.26,3,32,-1
Iowa State ,0.735,17.94,9.15,0.666666667,69.8,111.4,0.365,0.368,0.571,50.5,58.1,9.2,9.7,0.543,13.9,28.3,0.254,3,31,-1
Louisiana State ,0.667,11.39,5.63,0.611111111,69.6,103.1,0.335,0.284,0.533,51.5,57.8,10.2,14,0.503,17.3,33.9,0.229,9,30,-1
Purdue ,0.618,12.93,7.64,0.666666667,64.9,106.4,0.417,0.324,0.539,53.5,61.1,8.3,13.6,0.502,16.8,36.5,0.285,9,29,-1
Southern Methodist ,0.794,12.94,3.57,0.833333333,63.3,108.8,0.44,0.229,0.555,55,63,11,14.7,0.517,16.8,37.1,0.309,6,28,-1
Harvard ,0.733,4.47,-0.25,0.8,61.2,103.2,0.393,0.266,0.524,52.5,57.2,11.4,13.1,0.481,16,32.7,0.283,13,27,-2
UC-Irvine ,0.618,3.63,0.45,0.6875,63.7,105.2,0.292,0.301,0.544,51.2,56.2,8.9,12.6,0.52,15.8,30.2,0.2,13,26,-2
Valparaiso ,0.824,6.29,-2,0.8125,63.8,108.6,0.368,0.338,0.548,55.1,52.9,9.3,14.1,0.52,16.4,35.6,0.248,13,25,-3
Virginia Commonwealth ,0.722,12.79,6.1,0.666666667,66.4,106.5,0.373,0.399,0.518,49.2,50.9,14,12.5,0.487,13.2,31.8,0.245,7,24,-3
Wofford ,0.8,2.56,-2.98,0.888888889,62.7,106.2,0.382,0.331,0.547,51.1,56.4,10.4,7.2,0.516,15.1,29.1,0.262,12,23,-3
Northeastern ,0.657,2.03,-1.34,0.666666667,63.5,106.7,0.413,0.305,0.581,54.2,59.7,8.1,9.3,0.545,19,30.1,0.3,14,22,-4
Indiana ,0.588,12.94,7.2,0.5,66.9,115.3,0.327,0.395,0.573,52.2,51.2,7.4,7.8,0.544,14.6,35.2,0.235,10,21,-5
Buffalo ,0.697,7.93,1.6,0.666666667,68.7,108.5,0.426,0.303,0.533,52,51.7,10.9,11.3,0.487,14.1,34.5,0.306,12,20,-6
Oklahoma State ,0.563,12.95,9.63,0.444444444,64.6,103.6,0.387,0.388,0.547,48.6,49.9,12.1,13.7,0.507,16.6,27.8,0.281,9,19,-6
Georgia ,0.636,12.42,8.6,0.611111111,64.8,102.8,0.477,0.311,0.53,53,55,8.4,12.4,0.485,16.5,32.2,0.331,10,18,-7
Stephen F. Austin ,0.853,8.61,-4.2,0.944444444,68,115.2,0.427,0.37,0.594,54.2,65.4,11.2,10,0.557,17.5,37.9,0.314,12,17,-7
Texas ,0.588,16.16,9.07,0.444444444,62.9,105.9,0.365,0.341,0.531,56,55.5,5.9,20,0.491,16.8,37.9,0.265,11,16,-8
Albany (NY) ,0.727,-0.34,-5.18,0.9375,61.2,106.4,0.39,0.343,0.546,53.5,47.9,9.2,5.5,0.499,16.2,32.6,0.296,14,15,-9
Eastern Washington ,0.743,0.79,-3.84,0.777777778,68.3,117.1,0.352,0.421,0.591,50,46.5,9.1,13,0.562,13.6,29.9,0.255,13,14,-10
North Dakota State ,0.697,-1.72,-3.63,0.75,61.9,103.7,0.358,0.35,0.534,51.3,42.4,7.6,10.7,0.501,14,25.6,0.248,15,13,-10
Belmont ,0.667,0.35,-2.77,0.6875,67.5,109.9,0.324,0.48,0.589,50.3,58.7,9.4,5.5,0.567,17.8,29,0.225,15,12,-12
St. John's (NY) ,0.636,11.85,9.04,0.555555556,67.6,104.6,0.363,0.301,0.529,47.4,48.9,11,16.8,0.494,13.7,28.4,0.251,9,11,-12
Providence ,0.647,13.71,9.5,0.611111111,65.7,105.4,0.407,0.289,0.526,52.9,57.2,10.8,13.5,0.484,15.3,35.1,0.287,6,10,-13
Coastal Carolina ,0.706,-1.02,-6.18,0.666666667,65.2,110,0.411,0.333,0.537,55.7,46.1,10.8,10.2,0.5,15,37.5,0.283,16,9,-14
Wyoming ,0.714,3.81,-0.04,0.611111111,58.3,103.1,0.394,0.397,0.56,49.9,67.1,9.2,8.9,0.526,16.9,22.3,0.277,12,8,-17
Mississippi ,0.618,11.39,7.01,0.611111111,67,107.9,0.361,0.331,0.527,51.8,53.1,9.8,11.3,0.478,13.9,34.8,0.279,11,7,-19
New Mexico State ,0.676,3.71,-3.67,0.928571429,62.9,107.5,0.441,0.257,0.548,54.9,50.2,10.2,9.2,0.509,18.2,39.9,0.306,15,6,-19
Texas Southern ,0.629,-5.98,-6.09,0.888888889,64.5,103.6,0.468,0.312,0.531,50,45.8,9.3,7.7,0.495,16.8,33.8,0.309,15,5,-21
Hampton ,0.486,-8.25,-7.08,0.5,69.5,96.1,0.438,0.326,0.496,50.1,46.7,9.6,10.5,0.456,17.3,31.8,0.286,16,4,-23
Robert Morris ,0.571,-3.02,-3.5,0.666666667,66.7,102.6,0.355,0.306,0.536,47.9,50.1,12.8,8.1,0.501,17.2,31,0.252,16,3,-29
Davidson ,0.75,11.97,3.19,0.777777778,67.2,117.1,0.287,0.456,0.578,50.3,60.9,7.9,7.5,0.556,12.2,30,0.203,10,2,-31
Lafayette ,0.606,-3.37,-3.12,0.5,64.8,112.9,0.305,0.356,0.589,48.3,58.9,8.4,6.9,0.557,15.1,28.4,0.234,16,1,-41
Villanova ,0.875,24.08,9.71,0.888888889,67.3,115.4,0.341,0.427,0.597,51.2,58.7,10.4,9.7,0.561,14.4,28,0.267,2,64,38.7
North Carolina ,0.825,23.44,10.69,0.777777778,70.2,118,0.323,0.268,0.561,55.9,57.3,9.6,11.5,0.526,12.7,40.3,0.241,1,63,28
Syracuse ,0.622,14.62,9.75,0.5,64.9,106.7,0.354,0.421,0.533,49.3,55.8,12.4,12.6,0.501,15.3,33.4,0.243,10,62,19.2
Oklahoma ,0.784,19.76,11.14,0.666666667,71,111,0.33,0.407,0.573,51.4,52.8,9.3,12.6,0.543,15.8,31,0.238,2,61,12
Virginia ,0.784,22.04,11.12,0.722222222,61.5,115,0.321,0.284,0.58,53.2,57.2,8.7,10.2,0.548,13.2,29.8,0.241,1,60,21.8
Kansas ,0.868,23.87,11.22,0.833333333,69.7,115,0.382,0.33,0.592,53.9,55.3,9.4,10.7,0.564,15.5,32.3,0.272,1,59,21.3
Oregon ,0.816,18.05,8.64,0.777777778,69.5,112.8,0.406,0.34,0.562,52.4,49.7,10.4,15.3,0.525,13.9,34.2,0.291,1,58,20.5
Notre Dame ,0.667,14.1,9.57,0.611111111,65,115.2,0.329,0.343,0.573,51.1,49.4,8.4,10.1,0.54,13.2,32.3,0.244,6,57,8.7
Gonzaga ,0.778,16.92,4.23,0.833333333,68.1,115.4,0.34,0.355,0.587,55.2,49.6,7.5,7.7,0.553,14.7,32.3,0.258,11,56,18
Iowa State ,0.657,16.93,10.16,0.555555556,71.5,113.1,0.261,0.351,0.59,49.7,53.1,8.6,9.8,0.571,14.1,26.1,0.183,4,55,11.7
Texas A&M ,0.757,18.45,8.45,0.722222222,68.8,109.6,0.381,0.373,0.542,53,61.8,10.1,10.5,0.512,14.3,33.8,0.256,3,54,11.7
Indiana ,0.771,19.59,6.9,0.833333333,69.1,119.2,0.338,0.409,0.612,54.9,54.8,9.9,9.8,0.587,16.7,37,0.248,5,53,11.3
Maryland ,0.75,16.71,8.31,0.666666667,67.3,112.1,0.384,0.381,0.594,51.9,51.7,8.6,13.9,0.555,16.6,28.6,0.295,5,52,6.7
Wisconsin ,0.629,13.4,9.4,0.666666667,64.1,105.1,0.38,0.342,0.524,52.3,49,9.1,8.6,0.485,14.6,33,0.267,7,51,6.7
Duke ,0.694,19.23,10.59,0.611111111,68.4,117.7,0.405,0.398,0.573,49.5,48.6,9.1,9.8,0.537,12.2,33,0.293,4,50,6.3
Miami (FL) ,0.771,18.52,10.69,0.722222222,66.2,113.3,0.407,0.339,0.582,51.7,48.3,9.3,9.1,0.542,14.5,29.9,0.305,3,49,3.3
Kentucky ,0.75,20.23,8.84,0.722222222,68.2,115.3,0.378,0.31,0.564,53.6,49.8,8.3,14.1,0.535,13.3,36.8,0.261,4,48,14
Xavier ,0.824,18.58,8.43,0.777777778,72.4,111.2,0.417,0.342,0.556,54.9,59.1,10,8.4,0.514,14.8,35.2,0.305,2,47,10.5
Stephen F. Austin ,0.824,9.23,-5.47,1,69.6,115.3,0.345,0.365,0.577,51.9,65.3,13.1,10.2,0.545,14.8,34.6,0.253,14,46,9.5
Virginia Commonwealth ,0.694,13.83,4.35,0.777777778,69.9,109.7,0.322,0.333,0.539,52,51,12.2,9.8,0.51,13.6,32.6,0.223,10,45,5
Butler ,0.667,16.46,7.55,0.555555556,69.8,114.1,0.393,0.305,0.564,52.3,51,9.8,8.9,0.526,12.5,32.1,0.287,9,44,4
Wichita State ,0.743,17.39,4.24,0.888888889,66.1,108.8,0.38,0.381,0.531,53.1,56.4,10.9,11.6,0.49,12.7,31.7,0.272,11,43,4
Northern Iowa ,0.639,8.78,4.44,0.611111111,64.1,106.2,0.34,0.427,0.572,46.8,50.5,8.8,7.7,0.535,14.2,17.6,0.257,11,42,2.5
Hawaii ,0.824,9.03,-1.04,0.8125,71.6,107.2,0.449,0.379,0.555,53,58.8,10.5,10,0.52,15.8,31,0.307,13,41,2
Saint Joseph's ,0.778,12.1,4.93,0.722222222,70.2,109.6,0.374,0.356,0.548,51.9,54.7,7.3,9.2,0.512,12.3,27.9,0.268,8,40,1.5
Yale ,0.767,9.08,-1.03,0.928571429,66.9,111.5,0.413,0.309,0.555,57.8,56.9,8.4,12.6,0.526,16.4,39.4,0.276,12,39,1.5
Connecticut ,0.694,15.89,6.28,0.611111111,66.2,108.9,0.296,0.336,0.555,51.1,51.8,8.7,14,0.516,14,28.3,0.235,9,38,0.5
Utah ,0.75,15.5,8.79,0.722222222,67.7,112.5,0.382,0.373,0.588,53.2,57,8.1,9.9,0.557,16,30.2,0.276,3,37,-3
Little Rock ,0.857,7.12,-1.76,0.85,64.6,108.8,0.315,0.354,0.553,50.1,50.9,10.1,9.6,0.52,13.6,27.3,0.229,12,36,-4.5
Middle Tennessee ,0.714,2.66,-0.7,0.722222222,69.1,104.7,0.355,0.354,0.537,51.4,50.1,8.9,9.9,0.518,15,29.1,0.218,15,35,-5
Iowa ,0.667,17.01,8.71,0.666666667,69.1,111.5,0.33,0.355,0.546,50.6,57.7,9.7,12.5,0.513,12.6,31.8,0.237,7,34,-5.5
Providence ,0.686,11.94,8.46,0.555555556,69.8,104.4,0.373,0.371,0.523,49.4,62.4,9.3,8.9,0.48,13.9,30.3,0.27,9,33,-6
Southern California ,0.618,13.52,7.64,0.5,72.5,109.4,0.351,0.322,0.549,51.1,51.3,8.6,12.5,0.522,14.3,32.1,0.237,8,32,-1
Cincinnati ,0.667,15.19,5.25,0.666666667,65.5,108.9,0.332,0.366,0.527,53.2,59.7,11.6,15.5,0.493,13.7,36.6,0.234,9,31,-2
Purdue ,0.743,20.17,7.46,0.666666667,67.9,113.5,0.354,0.358,0.571,57.3,64.1,6.1,11.7,0.536,14.9,34.5,0.263,5,30,-2
Temple ,0.636,7.69,6.57,0.777777778,65.8,102.4,0.266,0.375,0.498,49.3,54.1,7.8,7.8,0.47,11.8,29.1,0.182,10,29,-2
Texas ,0.606,14.8,11.71,0.611111111,66.8,106.1,0.394,0.361,0.526,49.1,46.3,7.5,11.6,0.494,13.2,30.7,0.263,6,28,-3
Baylor ,0.647,16.13,9.76,0.555555556,67.6,112.8,0.375,0.286,0.555,55.6,64.6,11.6,11.2,0.518,15.5,40.1,0.272,5,27,-4
Pittsburgh ,0.636,15.47,8.75,0.5,66.4,112.2,0.357,0.307,0.551,55.2,62.3,7.3,10,0.511,14.6,36.9,0.269,10,26,-4
South Dakota State ,0.765,5.44,-1.22,0.75,68.8,110.8,0.402,0.367,0.558,53.7,43.4,7.2,6.6,0.515,14.7,32.5,0.298,12,25,-5
Buffalo ,0.571,1.34,0.9,0.555555556,72.6,105.9,0.414,0.37,0.54,51.7,48.2,9.4,9.2,0.499,15.9,32.2,0.294,14,24,-7
Colorado ,0.647,12.04,7.64,0.555555556,70.8,106.3,0.398,0.319,0.534,55.7,53.3,7.3,11.6,0.488,15.8,35.3,0.293,8,23,-7
Michigan ,0.639,13.75,7.92,0.555555556,65.7,111.9,0.278,0.44,0.573,49.2,56.7,8.6,6.4,0.546,13.1,24.7,0.205,11,22,-7
North Carolina-Wilmington ,0.758,6.25,0.35,0.777777778,71.3,110,0.373,0.332,0.546,50.6,47.2,10.3,11.2,0.512,13.5,32.2,0.262,13,21,-8
Oregon State ,0.594,10.39,9.26,0.5,68.4,105.1,0.373,0.319,0.53,48.3,53.3,10.8,9.7,0.499,14.3,29.2,0.25,7,20,-8
Michigan State ,0.829,22.59,6.94,0.722222222,67,118.3,0.3,0.356,0.588,58,71.3,6.6,12.9,0.563,14.6,36.4,0.218,2,19,-9
Arizona ,0.735,18.79,7.23,0.666666667,69.8,112.8,0.438,0.294,0.575,56.5,51.3,6.8,11.3,0.536,15.7,34.9,0.316,6,18,-10
Texas Tech ,0.594,12.41,10.25,0.5,66.7,106.7,0.422,0.304,0.547,50.1,53.2,8.8,11.8,0.5,15.5,31.2,0.314,8,17,-10
Fresno State ,0.714,5.27,2.24,0.722222222,70.1,105.7,0.379,0.3,0.524,50.4,50.3,11.9,11.8,0.487,13.1,31.1,0.263,14,16,-11
University of California ,0.676,15.39,7.87,0.666666667,68.2,108.5,0.417,0.337,0.55,54.5,48.3,5.9,10.9,0.522,15.3,32.6,0.274,4,15,-11
Iona ,0.667,3.59,-1.78,0.8,72.5,109.5,0.324,0.44,0.566,49.7,60,10.3,10.6,0.538,15.4,29.2,0.23,13,14,-13
Cal State Bakersfield ,0.727,2.58,-5.15,0.785714286,68.4,105.8,0.374,0.27,0.527,52.8,59,11.6,14.2,0.497,15.1,34.6,0.245,15,13,-14
West Virginia ,0.743,21.61,9.78,0.722222222,70.7,110.3,0.462,0.306,0.536,56.1,54.1,13.8,8.5,0.498,16.3,41.9,0.311,3,12,-14
Florida Gulf Coast ,0.6,-0.79,-3.82,0.571428571,69.7,108.1,0.369,0.25,0.546,53.5,47.9,9.2,10.3,0.523,15,32.9,0.238,16,11,-16
Seton Hall ,0.735,14.66,8.28,0.666666667,70.7,104.5,0.404,0.297,0.529,52.4,51,10.4,11.4,0.498,16.4,34.7,0.266,6,10,-16
Weber State ,0.743,0.18,-5.13,0.833333333,68.6,109.4,0.436,0.416,0.585,52.6,52.5,7.2,7.7,0.559,16.9,26.5,0.294,15,9,-18
Dayton ,0.758,11.34,4.76,0.777777778,68.6,104.5,0.408,0.35,0.546,53.2,57.4,8.6,12.2,0.516,16.3,28.7,0.272,7,8,-19
Chattanooga ,0.829,3.24,-3.46,0.833333333,68.1,110.5,0.413,0.371,0.565,52.3,56.2,11.3,13.1,0.524,15.7,32.6,0.304,12,7,-25
Austin Peay ,0.5,-6.04,-2.98,0.4375,70.5,106.4,0.457,0.315,0.549,51.8,50.7,9.7,7.7,0.516,16.8,33,0.306,16,6,-26
Green Bay ,0.639,1.16,-0.67,0.611111111,77.3,107.1,0.429,0.311,0.533,48.7,47.8,12.7,11.1,0.5,13.5,30.9,0.282,14,5,-27
Stony Brook ,0.788,3.75,-5.28,0.875,67.8,112,0.32,0.3,0.548,55.4,58,9.1,12.1,0.524,14.2,36,0.215,13,4,-28
North Carolina-Asheville ,0.647,1.1,-3.25,0.666666667,70.4,105.8,0.41,0.306,0.541,51.5,47,12.9,9,0.505,15.9,31.9,0.284,15,3,-30
Hampton ,0.656,-8.74,-8.45,0.8125,71.7,101,0.414,0.345,0.502,53.1,47,7.2,9,0.464,15.7,34.6,0.273,16,2,-36
