School,W-L%,SRS,SOS,Conf W-L%,Pace,ORtg,FTr,3PAr,TS%,TRB%,AST%,STL%,BLK%,eFG%,TOV%,ORB%,FT/FGA,Seed,Sort,Composite
Holy Cross ,0.429,-11.2,-6.11,0.277777778,64.6,98.4,0.361,0.409,0.515,45.6,61.9,9.5,7.8,0.479,14.9,23.1,0.248,16,1,-39
North Carolina ,0.825,24.84,11.76,0.777777778,72.6,116,0.348,0.303,0.55,58.2,58.9,9.7,9.7,0.519,13.4,41.3,0.244,1,64,29.2
Gonzaga ,0.949,25.26,4.13,0.944444444,70.9,116.4,0.39,0.329,0.596,54.7,51.8,9.6,11.2,0.567,14.2,29.8,0.28,1,63,23.5
South Carolina ,0.703,17.52,10.16,0.666666667,69.9,102.9,0.398,0.334,0.518,50.8,50.6,11,11.1,0.477,15.5,33.5,0.278,7,62,21.6
Oregon ,0.846,20.8,8.38,0.888888889,68.8,114.2,0.347,0.388,0.582,52.9,56.3,9.4,17.2,0.554,14.7,32.2,0.247,3,61,18.6
Kansas ,0.861,23.53,12.23,0.888888889,71.4,115.4,0.36,0.359,0.583,53,54.5,9.6,11.2,0.561,15.1,33.9,0.244,1,60,28
Florida ,0.75,22.4,11.01,0.777777778,70.1,110,0.402,0.366,0.556,51.3,47.2,10.7,11.8,0.516,14.6,31.8,0.293,4,59,17.8
Kentucky ,0.842,23.88,10.49,0.888888889,74.3,113.8,0.409,0.316,0.564,53.2,51.6,8.1,13,0.529,13.4,33.2,0.288,2,58,14.3
Xavier ,0.632,14.8,11.51,0.5,68.3,109,0.41,0.361,0.553,54.4,57,8.8,7.7,0.519,15.7,34.4,0.283,11,57,12.5
Arizona ,0.865,18.25,7.63,0.888888889,67.3,113.8,0.405,0.305,0.58,55.1,51.3,8.1,8.8,0.537,14.5,33.1,0.31,2,56,14.3
UCLA ,0.861,20.67,6.39,0.833333333,74.2,121,0.268,0.376,0.618,52.4,63.7,7.9,12.5,0.598,13.4,28.9,0.198,3,55,12
West Virginia ,0.757,24.45,9.67,0.666666667,71.4,112.2,0.389,0.325,0.545,52.1,57.3,13.8,14.2,0.513,14.1,37.7,0.266,4,54,11
Wisconsin ,0.73,19.4,9.4,0.666666667,64.5,110.7,0.329,0.369,0.542,54.7,51.9,10.3,9.8,0.521,14.3,35.7,0.212,8,53,10
Butler ,0.735,17.7,10.23,0.666666667,67.3,112.6,0.371,0.376,0.581,50.6,50,8.9,8.4,0.546,13.4,27.1,0.275,4,52,9
Michigan ,0.684,18.8,10.17,0.555555556,63.8,116.5,0.301,0.451,0.601,47.9,52.6,9,7.4,0.57,12.8,24.5,0.234,7,51,7.3
Baylor ,0.771,19.75,11.87,0.666666667,65.3,111.5,0.338,0.328,0.562,56.5,59.1,7.9,13,0.53,17.1,40.2,0.244,3,50,6.7
Purdue ,0.771,20.13,8.79,0.777777778,70,112.6,0.333,0.383,0.589,54.9,65.3,7.3,6.1,0.557,16.1,30.7,0.252,4,49,0
Villanova ,0.889,23.8,9.28,0.833333333,65.6,117.6,0.35,0.433,0.612,53,52.3,11,9,0.575,15,30,0.276,1,48,11.5
Duke ,0.757,21.56,10.91,0.611111111,69.9,115.7,0.393,0.383,0.588,51.9,47.5,8.7,10.9,0.548,14.2,31.6,0.299,2,47,10.5
Louisville ,0.735,22.47,11.15,0.666666667,68.5,112,0.34,0.321,0.543,54.1,48.4,9.7,15.2,0.514,13.4,36.6,0.233,2,46,8.5
Rhode Island ,0.714,12.88,4.62,0.722222222,67.4,108.8,0.392,0.323,0.538,51.8,51,9.6,15.7,0.507,14,32.8,0.262,11,45,7.5
Iowa State ,0.686,20.51,11.94,0.666666667,70.6,112.5,0.276,0.393,0.572,47.7,53.6,10.8,8.9,0.55,12.6,25.6,0.194,5,44,6.5
Wichita State ,0.861,21.24,2.96,0.944444444,69.4,116.7,0.401,0.364,0.579,56.1,59.1,9.4,11.4,0.543,13.9,34.2,0.294,10,43,4.5
Cincinnati ,0.833,18.43,5.49,0.888888889,65.1,113.3,0.325,0.361,0.547,53.3,57.5,11.1,13.9,0.52,12.9,35.5,0.223,6,42,4
Michigan State ,0.571,13.67,10.5,0.555555556,68.2,105.1,0.335,0.38,0.563,52.6,65.3,6.3,11.9,0.54,18,29.1,0.224,9,41,3
Middle Tennessee ,0.861,9.8,-0.48,0.944444444,66.4,112.4,0.304,0.299,0.567,53.9,54.4,10.1,8.3,0.543,13.6,30.7,0.212,12,40,3
Arkansas ,0.722,14.04,8.6,0.666666667,71.7,110.7,0.381,0.295,0.558,49.5,49.8,10.8,12.4,0.514,14.3,31.7,0.29,8,39,2.5
Saint Mary's (CA) ,0.853,16.75,2.19,0.888888889,61.3,117.6,0.278,0.414,0.602,57.2,63.1,6.9,8.5,0.578,15.2,33,0.207,7,38,2.5
Southern California ,0.722,11.48,6.4,0.555555556,70.1,111.2,0.368,0.366,0.56,50.3,56.4,9.9,13.3,0.522,13.7,30.9,0.273,11,37,1.5
Northwestern ,0.667,14.02,8.43,0.555555556,66.6,106.8,0.304,0.357,0.534,50.6,59.1,7.9,13.2,0.497,13.8,30.7,0.227,8,36,1
Notre Dame ,0.722,17.81,9.78,0.666666667,67.7,113.8,0.286,0.406,0.573,48.7,57.8,10.4,9.7,0.536,12.3,27.3,0.229,5,35,-2
Florida State ,0.743,18.87,8.87,0.666666667,72.6,113.1,0.384,0.313,0.566,52.7,49.3,10.2,13.7,0.537,14.1,33.6,0.265,3,34,-6.5
Virginia ,0.676,20.63,10.93,0.611111111,60.3,107.9,0.26,0.33,0.548,52.3,56.4,9.1,13.9,0.524,13.7,28.2,0.184,5,33,-7.5
Oklahoma State ,0.606,19.19,12.22,0.5,72.7,117.8,0.383,0.357,0.583,52.9,50.8,10.5,8.1,0.539,15.1,38.1,0.302,10,32,-1
Southern Methodist ,0.857,18.71,4.45,0.944444444,63.7,116.6,0.36,0.365,0.574,56.3,61.9,9,11.1,0.547,14.3,37.1,0.251,6,31,-1
Princeton ,0.767,6.57,-1.84,1,65.2,109.5,0.242,0.46,0.562,50,55.2,10.2,9.5,0.537,13.5,24.4,0.179,12,30,-2
Vanderbilt ,0.543,13.69,10.72,0.555555556,67.1,105.6,0.348,0.486,0.563,50,55.2,6.2,9.8,0.521,16.3,24.7,0.271,9,29,-2
North Carolina-Wilmington ,0.829,8.06,-0.55,0.833333333,71.5,118.1,0.317,0.411,0.578,51.6,52.7,9.3,8.2,0.555,12.4,32.8,0.219,12,28,-5
Bucknell ,0.743,5.89,-2.48,0.833333333,70.7,107.9,0.372,0.384,0.578,50.6,54.1,10.2,9.7,0.553,16.8,26.7,0.253,13,27,-6
Dayton ,0.75,12.98,4.27,0.833333333,69.4,108.9,0.436,0.381,0.571,49.7,61,11.2,11.9,0.538,15,25.8,0.301,7,26,-6
Seton Hall ,0.636,12.1,9.25,0.555555556,69,104.9,0.376,0.307,0.526,54.7,46.4,9.9,6.6,0.499,16.4,35.7,0.242,9,25,-6
Virginia Commonwealth ,0.743,11.57,3.77,0.777777778,69,106.8,0.364,0.294,0.544,51.8,55.6,10.7,10.6,0.51,15.3,31.2,0.257,10,24,-8
Minnesota ,0.706,14.56,8.82,0.611111111,70.3,104.6,0.396,0.299,0.528,50.5,57.2,7.9,15.9,0.487,14,29.6,0.281,5,23,-9
Northern Kentucky ,0.686,-0.17,-2.84,0.666666667,70.8,107.3,0.363,0.422,0.557,53.1,52.4,8.1,7.1,0.529,16.4,31.7,0.247,15,22,-9
Florida Gulf Coast ,0.765,2.26,-3.42,0.857142857,69.3,113.8,0.329,0.315,0.579,53.9,52.3,8.7,9.7,0.554,15.3,33.9,0.231,14,21,-9.5
Vermont ,0.829,6.67,-3.27,1,65.4,112.4,0.341,0.325,0.58,52.8,50.5,8.7,11.4,0.554,15,30.3,0.239,13,20,-10
Virginia Tech ,0.667,12.77,8.38,0.555555556,69.8,112.5,0.409,0.397,0.603,48.2,56,5.6,7,0.569,15.5,23.4,0.301,9,19,-10
Maryland ,0.727,12.79,8.29,0.666666667,68.1,108.1,0.398,0.411,0.557,50.3,57.1,8,11.9,0.523,16.3,31.1,0.278,6,18,-11
Nevada ,0.8,10.49,2.03,0.777777778,70.9,112,0.413,0.402,0.561,52.4,59.9,7.6,11,0.525,13.4,30.3,0.291,12,17,-11
Creighton ,0.714,17.27,8.95,0.555555556,72.9,112.3,0.277,0.358,0.592,49.3,55.5,8.4,7.6,0.576,15.2,24.8,0.189,6,16,-12
Winthrop ,0.788,1.34,-6.12,0.833333333,71.5,108.3,0.37,0.429,0.568,50.3,47.5,8.9,13.1,0.535,15.7,27.1,0.266,13,15,-12
Kansas State ,0.6,14.8,10.48,0.444444444,67.5,106.4,0.412,0.363,0.56,49.2,60,11.4,10.3,0.527,16.8,29.5,0.286,11,14,-14
East Tennessee State ,0.771,7.31,-2.11,0.777777778,71.4,110.2,0.432,0.352,0.587,53.1,53.8,11.6,13.6,0.555,18,31.3,0.304,13,13,-15
Jacksonville State ,0.571,-2.85,-3.24,0.5625,65.3,105.7,0.346,0.367,0.559,52.7,57.5,6.8,10.8,0.528,18,31.5,0.247,15,12,-15
Iona ,0.629,1.08,-2.47,0.6,72.3,110,0.31,0.4,0.569,48.2,55.3,9.3,7.7,0.534,14.6,27,0.238,14,11,-16
Kent State ,0.611,0.88,-1.63,0.555555556,70.7,107,0.328,0.349,0.521,54,45.5,8.9,9.7,0.484,14.9,38.7,0.236,14,10,-17
Marquette ,0.594,15.26,8.6,0.555555556,71.1,115.2,0.31,0.415,0.607,49.6,57.1,10.1,9.3,0.576,15.5,27,0.242,10,9,-18
New Mexico State ,0.824,4.66,-3.82,0.785714286,70,112.1,0.431,0.382,0.568,54.4,55.3,6.9,9.6,0.531,16.5,36.7,0.307,14,8,-18
North Dakota ,0.688,-1.83,-5.45,0.777777778,72.9,108.8,0.364,0.305,0.573,50.5,52.6,10.6,7.5,0.542,15.7,26.8,0.26,15,7,-18
Miami (FL) ,0.636,14.48,9.57,0.555555556,64.7,106.3,0.343,0.326,0.544,53,47.8,9.9,10.5,0.51,16.6,33.4,0.246,8,6,-20
Mount St. Mary's ,0.556,-4.29,-3.51,0.777777778,68.4,99.1,0.324,0.369,0.536,44.5,46,9,9.6,0.51,17.1,23,0.218,16,5,-20
South Dakota State ,0.514,-2.3,-0.66,0.5,69.2,109.6,0.404,0.456,0.581,50.7,52.1,7.4,7.2,0.537,16.4,27.4,0.311,16,4,-20
Troy ,0.595,-0.47,-3.36,0.555555556,70.1,110.9,0.393,0.403,0.565,51.8,49.3,8.5,9.8,0.528,15.3,31.6,0.285,15,3,-22
UC-Davis ,0.639,-5.21,-4.68,0.6875,70.2,98.9,0.412,0.316,0.526,50.8,52.8,7.9,9,0.49,17.6,28.9,0.278,16,2,-38
Texas Southern ,0.657,-6.41,-7.81,0.888888889,69.7,105.5,0.443,0.344,0.532,48.4,47.2,10.2,7.4,0.481,14.3,31.6,0.326,16,1,-39
Villanova ,0.9,26.64,10.24,0.777777778,70.2,122.2,0.294,0.475,0.623,52.4,53.7,9.1,10.5,0.595,13.3,29.1,0.229,1,64,117.1
Michigan ,0.805,19.03,9.41,0.722222222,65.9,110.8,0.307,0.433,0.564,50.3,53.6,9.6,8.1,0.545,12.4,24.9,0.203,3,63,83.4
Kansas ,0.795,21.39,11.87,0.722222222,70.3,115.3,0.27,0.412,0.594,50.3,55.7,9.2,10.9,0.575,14.6,28.8,0.191,1,62,69.2
Loyola (IL) ,0.842,10.38,1.81,0.833333333,66,108.4,0.319,0.357,0.602,51.3,59.7,9.6,6.8,0.577,17.3,21.8,0.231,11,61,65.8
Duke ,0.784,24.44,9.71,0.722222222,70.7,118.5,0.346,0.363,0.586,55.5,57.6,10.4,12.4,0.559,14.7,38.6,0.246,2,60,95.4
Florida State ,0.657,15.79,8.5,0.5,72.2,109.4,0.37,0.368,0.562,51.8,52.6,9.4,14,0.532,15.4,31.7,0.256,9,59,80.9
Texas Tech ,0.73,19.38,9.6,0.611111111,68.5,108.2,0.393,0.335,0.555,52.6,54.9,10.3,12.8,0.52,15.4,32.3,0.276,3,58,68.5
Kansas State ,0.676,12.84,8.74,0.555555556,66.6,106.3,0.338,0.368,0.56,47.4,54.4,11.9,9.3,0.525,15.3,25.5,0.248,9,57,60
Clemson ,0.714,17.17,9.25,0.611111111,67.6,108.5,0.335,0.399,0.566,51.7,51.5,8.3,13.3,0.529,15.3,27,0.253,5,56,94.1
West Virginia ,0.703,19.88,9.36,0.611111111,70.6,113,0.313,0.384,0.543,52.5,54.2,11.5,15.9,0.504,13.3,36.5,0.24,5,55,82.9
Kentucky ,0.703,17.24,10.73,0.555555556,69.8,109.6,0.44,0.258,0.555,53.6,49,8,13.7,0.518,15.8,35.3,0.307,5,54,75.9
Purdue ,0.811,23.41,8.74,0.833333333,68.2,117.5,0.356,0.401,0.606,51.8,57.9,8.3,12.5,0.577,14,27.3,0.265,2,53,68.9
Nevada ,0.784,14.44,4.93,0.833333333,70.6,115.5,0.363,0.404,0.582,49.4,57,8.7,10.9,0.548,12,26.2,0.269,7,52,57.1
Syracuse ,0.622,12.89,10.02,0.444444444,64.3,102.2,0.405,0.328,0.518,52.6,47.5,10.7,17.4,0.469,16.2,34.1,0.298,11,51,54
Texas A&M ,0.629,15.3,10.62,0.5,70.9,106,0.32,0.33,0.538,54.3,55.1,7.7,15.3,0.514,16.3,33.7,0.212,7,50,47.9
Gonzaga ,0.865,18.43,2.59,0.944444444,69.8,118,0.321,0.394,0.593,56,50.1,8.9,9.6,0.57,13.9,32.4,0.227,4,49,43.9
Tennessee ,0.743,18.2,10.12,0.722222222,67.1,109.3,0.355,0.357,0.549,51.4,62.1,9.4,12.8,0.508,15.2,33.3,0.269,3,48,85.5
Butler ,0.6,16.92,10.55,0.5,69.7,110.9,0.261,0.374,0.57,51.3,47.9,9.3,8.2,0.54,13.9,27.1,0.202,10,47,68
Xavier ,0.829,19.08,9.45,0.833333333,72.4,115.4,0.41,0.358,0.601,55.1,57.3,8,8.4,0.559,15.2,29.9,0.32,1,46,67
Cincinnati ,0.861,20.25,3.53,0.888888889,66.2,112.2,0.36,0.353,0.543,55.6,60.4,10.7,15.8,0.512,14.1,38.4,0.249,2,45,64.5
Maryland-Baltimore County ,0.694,-2.02,-3.84,0.75,69.2,105.6,0.307,0.45,0.55,49.1,59.1,10.8,7.3,0.531,15.5,26.8,0.198,16,44,63.5
Florida ,0.618,16.67,10.08,0.611111111,68.4,109.6,0.326,0.403,0.54,48.5,49.8,10.1,12.7,0.507,12.3,28.7,0.234,6,43,61
Seton Hall ,0.647,15.67,10.11,0.555555556,71.1,110.9,0.352,0.33,0.558,53.1,54.3,8.6,9.1,0.529,15.2,34,0.246,8,42,52.5
Michigan State ,0.857,22.41,7.1,0.888888889,68.2,117.2,0.359,0.363,0.601,57.6,67.6,6,18.5,0.569,16.4,36.8,0.268,3,41,44
Ohio State ,0.735,17.67,9.03,0.833333333,68,110.9,0.311,0.342,0.57,53.6,52.5,8.9,11.3,0.541,14.9,29.8,0.227,5,40,43
Buffalo ,0.75,7.99,0.25,0.833333333,73.9,113.3,0.298,0.406,0.572,51.4,54,8.4,10.1,0.549,14.3,31.6,0.208,13,39,40.5
Houston ,0.771,15.99,4.16,0.777777778,68.5,111.9,0.326,0.372,0.563,54.6,53,9.1,9,0.533,14.9,33.4,0.234,6,38,39.5
North Carolina ,0.703,20.08,11.78,0.611111111,71.7,113.4,0.28,0.351,0.551,56.4,61,8,11.1,0.52,14,37.4,0.208,2,37,32.5
Marshall ,0.694,4.21,0.44,0.666666667,76.4,108.6,0.335,0.453,0.583,46.7,59,9.1,12.7,0.548,15.5,22.2,0.256,13,36,10.5
Alabama ,0.556,12.34,10.64,0.444444444,70.2,103,0.419,0.355,0.55,50.3,50.3,9,14.7,0.519,17.8,29.3,0.281,9,35,5
Rhode Island ,0.765,11.81,4.61,0.833333333,69.2,108.9,0.301,0.32,0.539,50,54.5,10.5,9.5,0.511,13.1,30.8,0.209,7,34,4
Auburn ,0.765,15.97,7.29,0.722222222,73.5,111.4,0.398,0.432,0.557,51.7,53.1,10.1,15.2,0.508,14.1,31.8,0.308,4,33,-7.5
Miami (FL) ,0.688,12.83,6.96,0.611111111,67.8,107.9,0.291,0.36,0.551,50.6,48.5,9.6,11,0.531,14.6,29.1,0.192,6,32,26
San Diego State ,0.667,12.23,3.91,0.611111111,70.4,109.6,0.357,0.36,0.553,53.7,54.1,8.9,9.4,0.519,14.6,31.8,0.255,11,31,25
Virginia Tech ,0.636,14.35,6.72,0.555555556,69.9,112.9,0.365,0.399,0.602,48.8,58.2,8.2,6.6,0.577,15.3,23.7,0.259,8,30,21
Arkansas ,0.657,14.76,9.85,0.555555556,71.3,111.8,0.374,0.321,0.565,48.9,49.9,8.6,13.8,0.538,13.2,28.7,0.255,7,29,17
Bucknell ,0.714,4.48,-3.46,0.888888889,72.4,110.3,0.425,0.392,0.576,50.8,52.3,7.5,10.4,0.539,15.1,26.9,0.306,14,28,16
College of Charleston ,0.765,1.83,-3.29,0.777777778,65.9,111.1,0.367,0.378,0.567,49.6,44.2,7.8,9.8,0.527,13.2,25.6,0.277,13,27,15
North Carolina-Greensboro ,0.771,4.54,-3.87,0.833333333,66.9,107.1,0.265,0.452,0.548,55,52.7,11.2,12.4,0.525,17.1,34.1,0.185,13,26,14
Providence ,0.6,11.12,10.23,0.555555556,69.5,104,0.386,0.329,0.534,49.6,53.9,9.6,9.8,0.496,15.1,28.7,0.272,10,25,13
Texas ,0.559,13.96,10.67,0.444444444,66.9,103.9,0.33,0.381,0.527,50,44.7,8.9,12.8,0.5,14.6,29.3,0.219,10,24,12
Davidson ,0.636,11.02,2.57,0.722222222,65.3,115.6,0.246,0.484,0.602,50.8,61.3,7.1,6.1,0.574,13.1,22.3,0.196,12,23,8
Oklahoma ,0.563,13.81,10.56,0.444444444,76.5,109.7,0.332,0.405,0.569,49.8,50.2,8.4,11,0.535,15.2,28.3,0.247,10,22,7
Texas Christian ,0.636,16.38,9.68,0.5,70,115,0.342,0.352,0.59,54.5,62.8,9.1,9.4,0.566,15.4,34,0.241,6,21,6
Wichita State ,0.758,16.58,5.46,0.777777778,70,117.3,0.348,0.392,0.583,57.1,63.7,6.6,11.1,0.551,14.1,35.5,0.257,4,20,2
South Dakota State ,0.8,6.84,-0.38,0.928571429,72.3,115.6,0.354,0.432,0.59,52.2,46.6,6.7,5.9,0.554,12.3,24.7,0.269,12,19,-5
Creighton ,0.636,16.35,8.1,0.555555556,72.9,113.7,0.259,0.45,0.599,51,58.3,7.7,6.7,0.575,13.9,22.3,0.194,8,18,-12
Stephen F. Austin ,0.8,2.67,-6.46,0.777777778,73.8,109.1,0.398,0.316,0.576,52.6,49.8,14,9.7,0.544,18.1,33.3,0.28,14,17,-13
New Mexico State ,0.824,9.06,-1.1,0.857142857,70.1,107.5,0.287,0.367,0.538,56,49.9,7.9,8.6,0.519,15.2,34.2,0.184,12,16,-17
North Carolina State ,0.636,12.91,6.7,0.611111111,72.1,112.3,0.342,0.344,0.562,50.3,55,10.2,9.2,0.534,14.3,33.3,0.238,9,15,-18
Missouri ,0.606,13.81,9.19,0.555555556,67.3,107.1,0.39,0.453,0.573,53.2,55.8,7.6,11.3,0.537,18.3,31.1,0.286,8,14,-25
Montana ,0.765,6.28,-2.25,0.888888889,70,108.7,0.386,0.272,0.549,53.3,45.3,10.9,9.2,0.513,15,33.1,0.273,14,13,-29
Georgia State ,0.686,3.23,-2.78,0.666666667,68,108.7,0.303,0.413,0.562,47.7,48.6,10.6,15.1,0.54,14.5,25.6,0.205,15,12,-33
St. Bonaventure ,0.765,8.87,2.61,0.777777778,69.4,109.5,0.405,0.337,0.561,50.5,53.4,10,10.8,0.516,14.3,29.2,0.305,11,11,-34
Pennsylvania ,0.727,2.24,-3.17,0.857142857,70.2,105.3,0.334,0.427,0.555,51,56.9,8.2,7,0.533,14.8,23.6,0.22,16,10,-38
Murray State ,0.813,6.87,-3.53,0.888888889,68.2,115.3,0.381,0.399,0.591,54.1,54.1,9.9,8.7,0.558,15.3,33,0.28,12,9,-42
Lipscomb ,0.697,-2.1,-3.8,0.714285714,77,105,0.405,0.399,0.557,52.2,56,8.4,8,0.518,16.9,28.3,0.291,15,8,-46
Texas Southern ,0.444,-7.53,-5.53,0.666666667,72.7,105.7,0.429,0.37,0.548,48.5,47.4,7.8,9.3,0.505,15.1,28.2,0.311,16,7,-50
Virginia ,0.912,22.21,9.07,0.944444444,60.6,110.4,0.245,0.35,0.555,51.2,54,11.2,12.3,0.527,12.3,26.9,0.184,1,6,-54
Arizona ,0.771,15.67,6.84,0.777777778,68.7,115.6,0.37,0.321,0.598,55.6,52.6,7.1,12,0.563,15.3,33.2,0.281,4,5,-58
Iona ,0.588,0.76,-2.19,0.611111111,71.5,109.1,0.302,0.408,0.569,47.2,56.6,9.2,7.6,0.539,14.3,24.3,0.223,15,4,-62
Cal State Fullerton ,0.625,-0.92,-1.02,0.625,70,102.7,0.433,0.291,0.559,51.1,50.1,8.9,8.6,0.516,18,26.8,0.316,15,3,-75
Radford ,0.639,-2.61,-4.08,0.666666667,63.4,104.3,0.307,0.397,0.528,52.3,52,9.7,9.1,0.494,16.1,33.6,0.223,16,2,-76
Wright State ,0.714,0.58,-3.64,0.777777778,70,101.4,0.358,0.348,0.529,51.8,52.7,9.4,6.5,0.491,16.3,28.8,0.256,14,1,-77